2025-04-26 10:49:28 [main] INFO  org.example.networkchat.Server - Server started on port 8081
2025-04-26 10:53:13 [main] ERROR org.example.networkchat.Client - Client error: Connection refused: connect
2025-04-26 10:58:07 [main] INFO  org.example.networkchat.Server - Server started on port 8081
2025-04-26 10:58:30 [main] INFO  org.example.networkchat.Client - Connected to server at localhost:8081
2025-04-26 10:58:41 [main] WARN  org.example.networkchat.Client - Input failed, using default username: Anonymous
2025-04-26 10:58:41 [main] INFO  org.example.networkchat.Client - Username sent: Anonymous
2025-04-26 10:58:41 [Thread-0] INFO  o.example.networkchat.ClientHandler - User Anonymous connected
2025-04-26 10:58:41 [Thread-0] INFO  org.example.networkchat.Server - Broadcasting message: Anonymous has joined the chat
2025-04-26 10:58:41 [Thread-0] INFO  org.example.networkchat.Client - Received: Enter your username:
2025-04-26 10:58:53 [Thread-1] INFO  o.example.networkchat.ClientHandler - User GET /login HTTP/1.1 connected
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: GET /login HTTP/1.1 has joined the chat
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: GET /login HTTP/1.1 has joined the chat
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: Host: localhost:8081
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: Connection: keep-alive
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: Host: localhost:8081
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: sec-ch-ua: "Not A(Brand";v="8", "Chromium";v="132", "YaBrowser";v="25.2", "Yowser";v="2.5"
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: Connection: keep-alive
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: sec-ch-ua-mobile: ?0
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: sec-ch-ua: "Not A(Brand";v="8", "Chromium";v="132", "YaBrowser";v="25.2", "Yowser";v="2.5"
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: sec-ch-ua-platform: "Windows"
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: Upgrade-Insecure-Requests: 1
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: sec-ch-ua-mobile: ?0
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: sec-ch-ua-platform: "Windows"
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: Upgrade-Insecure-Requests: 1
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
